"L.p.";"klucz";"de";"es";"fr";"it";"pt";"pl";"en"
"1";"voiceControl";"SPRACHSTEUERUNG";"CONTROL DE VOZ";"COMMANDE VOCALE";"CONTROLLO VOCALE";"CONTROLO POR VOZ";"STEROWANIE GŁOSEM";"VOICE CONTROL"
"2";"voiceControlSmall";"Sprachsteuerung";"Control de voz";"Commande vocale";"Controllo vocale";"Controlo por voz";"Sterowanie głosem";"Voice Control"
"3";"noApiaries";"Es gibt noch keine Bienenstände.";"Aun no hay colmenares.";"Il n'y a pas encore de ruchers.";"Non ci sono ancora apiari.";"Ainda não existem apiários.";"Nie ma jeszcze żadnych pasiek.";"There are no apiaries yet."
"4";"hiBeesDetected";"Warte auf Befehl...  Brauchst du Hilfe? Sag ""Hilf mir!""";"Escuchando comando...  Necesitas ayuda? Di ""Ayudame!""";"En attente de commande...  Besoin d'aide ? Dites ""Aide-moi !""";"In ascolto del comando...  Vuoi aiuto? Dì ""Aiutami!""";"A ouvir comando...  Precisa de ajuda? Diga ""Ajuda-me!""";"Słucham polecenia...  Chcesz pomocy? Powiedz ""Pomóż mi!""";"Listening for intent...  Want help - say ""Help me!"""
"5";"listeningForHiBees";"Sag ""Hey Maya!""";"Di ""Hey Maya!""";"Dites ""Hey Maya!""";"Dì ""Hey Maya!""";"Diga ""Hey Maya!""";"Powiedz ""Hej Maja!""";"Listening for ""Hey Maya!"""
"6";"iNotUderstood";"Nicht verstanden :(";"No entendi :(";"Je n'ai pas compris :(";"Non ho capito :(";"Não entendi :(";"Nie zrozumiałam :(";"I not uderstood :("
"7";"apiary";"Bienenstand";"colmenar";"rucher";"apiario";"apiário";"pasieka";"apiary"
"8";"aPiary";"Bienenstand";"Colmenar";"Rucher";"Apiario";"Apiário";"Pasieka";"Apiary"
"9";"hive";"Beute";"colmena";"ruche";"arnia";"colmeia";"ul";"hive"
"10";"allHives";"alle Beuten";"todas las colmenas";"toutes les ruches";"tutte le arnie";"todas as colmeias";"wszystkie ule";"all hives"
"11";"body";"Zarge";"alza";"hausse";"melario";"alça";"korpus";"body"
"12";"halfBody";"Halbzarge";"media alza";"demi-hausse";"mezzo melario";"meia-alça";"półkorpus";"half body"
"13";"frame";"Rahmen";"cuadro";"cadre";"telaino";"quadro";"ramka";"frame"
"14";"store";"Vorräte";"recursos";"ressources";"risorse";"recursos";"zasoby";"store"
"15";"equipment";"Ausrüstung";"equipamiento";"équipement";"attrezzatura";"equipamento";"wyposażenie";"equipment"
"16";"feeding";"Fütterung";"alimentacion";"nourrissement";"nutrizione";"alimentação";"dokarmianie";"feeding"
"17";"treatment";"Behandlung";"tratamiento";"traitement";"trattamento";"tratamento";"leczenie";"treatment"
"18";"queen";"Königin";"reina";"reine";"regina";"rainha";"matka";"queen"
"19";"setColony";"Volk";"colonia";"colonie";"colonia";"colónia";"rodzina";"colony"
"20";"helpMe";"hilf mir";"ayudame";"aide-moi";"aiutami";"ajuda-me";"pomóż mi";"help me"
"21";"date";"Datum";"fecha";"date";"data";"data";"data";"date"
"22";"help";"Hilfe";"ayuda";"aide";"aiuto";"ajuda";"pomóż";"help"
"23";"close";"schließen";"cerrar";"fermer";"chiudi";"fechar";"zamknij";"close"
"24";"open";"öffnen";"abrir";"ouvrir";"apri";"abrir";"otwórz";"open"
"25";"open1";"geöffnet";"abierto";"ouvert";"aperto";"aberto";"otworzony";"open"
"26";"set";"einstellen";"establecer";"définir";"imposta";"definir";"ustaw";"set"
"27";"allHivesAre";"  Alle Beuten sind";"  Todas las colmenas estan";"  Toutes les ruches sont";"  Tutte le arnie sono";"  Todas as colmeias estão";"  Wszystkie ule są";"  All Hives are"
"28";"big";"groß";"grande";"grande";"grande";"grande";"duża";"big"
"29";"small";"klein";"pequeno";"petite";"piccolo";"pequeno";"mała";"small"
"30";"siteOfFrame";"  Seite des Rahmens =";"  Lado del cuadro =";"  Côté du cadre =";"  Lato del telaino =";"  Lado do quadro =";"  Strona ramki =";"  Site of frame ="
"31";"sizeOfFrame";"  Größe des Rahmens =";"  Tamano del cuadro =";"  Taille du cadre =";"  Dimensione del telaino =";"  Tamanho do quadro =";"  Wielkość ramki =";"  Size of frame ="
"32";"drone";"Drohnenbrut";"cria de zangano";"couvain de mâles";"covata maschile";"cria de zangão";"czerw trutowy";"drone"
"33";"broodCovered";"verdeckelte Brut";"cria operculada";"couvain operculé";"covata opercolata";"cria operculada";"czerw kryty";"brood covered"
"34";"larvae";"Larven";"larvas";"larves";"larve";"larvas";"larwy";"larvae"
"35";"eggs";"Stifte";"huevos";"œufs";"uova";"ovos";"jajka";"eggs"
"36";"pollen";"Bienenbrot";"pan de abeja";"pain d'abeilles";"pane d'api";"perga";"pierzga";"pollen"
"37";"honeySealed";"reifer Honig";"miel operculada";"miel operculé";"miele opercolato";"mel operculado";"miód dojrzały";"honey sealed"
"38";"honey";"Honig";"miel";"miel";"miele";"mel";"miód";"honey"
"39";"waxComb";"Leerwabe";"cuadro estirado";"cadre bâti vide";"telaino vuoto";"quadro vazio";"susz";"wax comb"
"40";"waxFundation";"Mittelwand";"cera estampada";"cire gaufrée";"foglio cereo";"cera alveolada";"węza";"wax fundation"
"41";"queenCells";"Weiselzellen";"realeras";"cellules royales";"celle reali";"células reais";"mateczniki";"queen cells"
"42";"deleteQueenCells";"entfernte Weiselzellen";"realeras eliminadas";"cellules royales supprimées";"celle reali rimosse";"células reais removidas";"usunięte mateczniki";"delete queen cells"
"43";"toDo";"Zu erledigen";"Por hacer";"À faire";"Da fare";"A fazer";"Do zrobienia";"to Do"
"44";"isDone";"Erledigt";"Hecho";"Fait";"Fatto";"Feito";"Zrobiono";"is Done"
"45";"syrup";"Sirup";"jarabe";"sirop";"sciroppo";"xarope";"syrop";"syrup"
"46";"sYrup";"Sirup";"Jarabe";"Sirop";"Sciroppo";"Xarope";"Syrop";"Syrup"
"47";"kropka";",";",";",";",";",";",";"."
